dataset,category,seed,fallback_budget,fast_only_auroc,risk_auroc,random_auroc,fast_score_auroc,uncertainty_auroc,fast_only_recall,risk_recall,random_recall,fast_score_recall,uncertainty_recall,risk_delta,risk_recall_delta,risk_minus_fast_score,risk_minus_uncertainty,fallback_rate,fallback_count,total
MVTec,grid,29,0.1,0.529657477025898,0.5513784461152882,0.47451963241436923,0.5271512113617377,0.5756056808688388,0.10526315789473684,0.14035087719298245,0.07017543859649122,0.07017543859649122,0.22807017543859648,0.07685881370091896,0.07017543859649122,0.024227234753550486,-0.024227234753550597,0.10256410256410256,8,78
MVTec,hazelnut,29,0.1,0.8985714285714286,0.9714285714285714,0.8210714285714286,0.8985714285714286,0.9025,0.5714285714285714,0.8571428571428571,0.1,0.5714285714285714,0.6,0.15035714285714286,0.7571428571428571,0.07285714285714284,0.06892857142857145,0.1,11,110
MVTec,leather,29,0.1,0.9133831521739131,1.0,0.8688858695652174,0.9133831521739131,0.915421195652174,0.75,1.0,0.11956521739130435,0.75,0.7608695652173914,0.1311141304347826,0.8804347826086957,0.08661684782608692,0.08457880434782605,0.10483870967741936,13,124
MVTec,metal_nut,29,0.1,0.7996089931573802,0.8993157380254154,0.7810361681329423,0.7996089931573802,0.7883675464320625,0.4838709677419355,0.7849462365591398,0.5161290322580645,0.4838709677419355,0.5591397849462365,0.11827956989247312,0.26881720430107525,0.09970674486803521,0.1109481915933529,0.10434782608695652,12,115
MVTec,pill,29,0.1,0.7733224222585925,0.6614839061647573,0.8000545553737043,0.7733224222585925,0.7310420076377523,0.3049645390070922,0.20567375886524822,0.3971631205673759,0.3049645390070922,0.09929078014184398,-0.13857064920894702,-0.1914893617021277,-0.11183851609383522,-0.06955810147299502,0.10179640718562874,17,167
MVTec,screw,29,0.1,0.5357655257224841,0.4375896700143472,0.4763271162123386,0.5372002459520393,0.570608731297397,0.04201680672268908,0.10084033613445378,0.07563025210084033,0.058823529411764705,0.15966386554621848,-0.03873744619799141,0.025210084033613453,-0.09961057593769213,-0.1330190612830498,0.1,16,160
MVTec,tile,29,0.1,0.9004329004329005,0.9862914862914863,0.8124098124098124,0.9004329004329005,0.9004329004329005,0.6904761904761905,0.9761904761904762,0.09523809523809523,0.6904761904761905,0.6904761904761905,0.17388167388167397,0.8809523809523809,0.08585858585858586,0.08585858585858586,0.10256410256410256,12,117
MVTec,toothbrush,29,0.1,0.9722222222222222,0.9722222222222222,0.9,0.9722222222222222,0.9722222222222222,0.9333333333333333,0.9333333333333333,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.07222222222222219,0.8,0.0,0.0,0.11904761904761904,5,42
MVTec,transistor,29,0.1,0.82625,0.8008333333333333,0.7754166666666666,0.82625,0.78375,0.45,0.35,0.1,0.45,0.1,0.025416666666666643,0.24999999999999997,-0.025416666666666754,0.01708333333333334,0.1,10,100
MVTec,wood,29,0.1,0.75,0.980701754385965,0.712280701754386,0.75,0.75,0.48333333333333334,0.8833333333333333,0.08333333333333333,0.48333333333333334,0.48333333333333334,0.268421052631579,0.7999999999999999,0.23070175438596496,0.23070175438596496,0.10126582278481013,8,79
